epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,18446.9,0.58057,0.67335,1.11137,0.68248,0.57571,0.6237,0.49644,0.90838,1.41,1.43403,0.00665875,0.00665875,0.00665875
137,18565.7,0.5837,0.67049,1.11077,0.66615,0.57327,0.61691,0.50099,0.91165,1.40455,1.42044,0.006634,0.006634,0.006634
138,18686.7,0.58548,0.68824,1.1117,0.68272,0.54788,0.60531,0.48499,0.9268,1.42994,1.43577,0.00660925,0.00660925,0.00660925
139,18808.2,0.58013,0.6741,1.1068,0.6357,0.61785,0.62938,0.49791,0.9398,1.40844,1.46261,0.0065845,0.0065845,0.0065845
140,18929.4,0.58139,0.67774,1.11217,0.58703,0.63788,0.60135,0.48434,0.93686,1.42126,1.45599,0.00655975,0.00655975,0.00655975
141,19050.8,0.57025,0.6565,1.0991,0.58748,0.62635,0.59826,0.48118,0.93096,1.4804,1.47084,0.006535,0.006535,0.006535
142,19171.6,0.56224,0.66515,1.10672,0.61056,0.63223,0.61955,0.50011,0.91046,1.39771,1.46896,0.00651025,0.00651025,0.00651025
143,19292.6,0.57324,0.65969,1.10467,0.6132,0.64271,0.61578,0.49218,0.95274,1.43308,1.48112,0.0064855,0.0064855,0.0064855
144,19414,0.56667,0.6501,1.09677,0.65624,0.62161,0.62794,0.50369,0.93055,1.38901,1.44908,0.00646075,0.00646075,0.00646075
145,19535.3,0.56146,0.64309,1.09762,0.63075,0.55962,0.59193,0.47677,0.92516,1.49547,1.44303,0.006436,0.006436,0.006436
146,19656.6,0.57236,0.65828,1.10922,0.59426,0.5919,0.57548,0.45395,0.9386,1.54124,1.45527,0.00641125,0.00641125,0.00641125
147,19771.8,0.56984,0.63858,1.09805,0.58413,0.59066,0.59206,0.47476,0.92401,1.48979,1.44813,0.0063865,0.0063865,0.0063865
148,19872.1,0.55243,0.63931,1.09413,0.62334,0.57653,0.59195,0.48178,0.90958,1.48161,1.46618,0.00636175,0.00636175,0.00636175
149,19972.4,0.54868,0.62739,1.08914,0.6487,0.54097,0.59374,0.48897,0.90268,1.50347,1.44614,0.006337,0.006337,0.006337
150,20072.7,0.55424,0.63582,1.09882,0.59978,0.58378,0.5864,0.48076,0.90521,1.52031,1.4456,0.00631225,0.00631225,0.00631225
151,20172.9,0.54986,0.62523,1.09083,0.58419,0.60025,0.59338,0.4798,0.92602,1.52469,1.4644,0.0062875,0.0062875,0.0062875
152,20273.1,0.5563,0.63362,1.09287,0.59085,0.60507,0.60416,0.48136,0.91947,1.48045,1.44055,0.00626275,0.00626275,0.00626275
153,20373.5,0.5562,0.63638,1.09456,0.62654,0.60515,0.61916,0.49801,0.91297,1.42577,1.43543,0.006238,0.006238,0.006238
154,20473.8,0.56162,0.63435,1.09689,0.57601,0.65849,0.60537,0.49455,0.90318,1.48316,1.43492,0.00621325,0.00621325,0.00621325
155,20574,0.55611,0.62662,1.08865,0.66796,0.55229,0.60141,0.4864,0.91309,1.45763,1.44071,0.0061885,0.0061885,0.0061885
156,20674.5,0.55565,0.62998,1.09485,0.57332,0.5971,0.58537,0.47509,0.90947,1.52116,1.44086,0.00616375,0.00616375,0.00616375
157,20775.3,0.54413,0.604,1.08659,0.61913,0.57666,0.59429,0.48552,0.91889,1.55161,1.4485,0.006139,0.006139,0.006139
158,20875.9,0.54508,0.60148,1.08506,0.63442,0.57968,0.59701,0.48742,0.92312,1.52851,1.45206,0.00611425,0.00611425,0.00611425
159,20976.4,0.54033,0.60888,1.08235,0.58728,0.63339,0.61072,0.49551,0.90128,1.47209,1.42513,0.0060895,0.0060895,0.0060895
160,21077.3,0.54122,0.60912,1.08054,0.59505,0.6001,0.60349,0.49409,0.9225,1.5118,1.45536,0.00606475,0.00606475,0.00606475
161,21178,0.52953,0.58121,1.06777,0.56219,0.60995,0.59123,0.48268,0.91841,1.56311,1.44825,0.00604,0.00604,0.00604
162,21278.9,0.5353,0.59649,1.07696,0.61522,0.60063,0.61181,0.49419,0.92016,1.53835,1.45292,0.00601525,0.00601525,0.00601525
163,21379.4,0.53879,0.59519,1.07463,0.66464,0.56752,0.59553,0.48499,0.95888,1.63776,1.48254,0.0059905,0.0059905,0.0059905
164,21480.2,0.53435,0.59523,1.07952,0.64331,0.58978,0.60515,0.49087,0.91281,1.49961,1.45414,0.00596575,0.00596575,0.00596575
165,21580.7,0.53654,0.59091,1.08223,0.62995,0.57296,0.59768,0.48992,0.94946,1.61582,1.47793,0.005941,0.005941,0.005941
166,21681,0.52242,0.58667,1.05974,0.65783,0.58148,0.60844,0.49396,0.91018,1.55129,1.43404,0.00591625,0.00591625,0.00591625
167,21781.4,0.52186,0.58421,1.06652,0.62302,0.57779,0.6034,0.48982,0.90887,1.57172,1.42425,0.0058915,0.0058915,0.0058915
168,21881.7,0.53335,0.60089,1.07428,0.61848,0.61462,0.60653,0.48609,0.93437,1.49972,1.4636,0.00586675,0.00586675,0.00586675
169,21981.9,0.51983,0.57267,1.06464,0.60186,0.62226,0.60937,0.49197,0.95336,1.50834,1.47739,0.005842,0.005842,0.005842
170,22082.3,0.52241,0.57559,1.06526,0.58326,0.63068,0.59799,0.48572,0.93945,1.4916,1.47249,0.00581725,0.00581725,0.00581725
171,22184,0.5239,0.5724,1.06897,0.63517,0.56194,0.5947,0.48323,0.92776,1.49285,1.44937,0.0057925,0.0057925,0.0057925
172,22284.6,0.52331,0.58401,1.06806,0.60907,0.60066,0.59985,0.49134,0.94936,1.55271,1.47252,0.00576775,0.00576775,0.00576775
173,22384.9,0.5193,0.57227,1.0659,0.59698,0.63002,0.60365,0.49097,0.91782,1.56127,1.4491,0.005743,0.005743,0.005743
174,22485.4,0.51119,0.56766,1.0572,0.60924,0.62146,0.62092,0.50458,0.91463,1.51116,1.44587,0.00571825,0.00571825,0.00571825
175,22585.7,0.51569,0.56635,1.06611,0.63737,0.61986,0.61249,0.49475,0.93565,1.55247,1.47898,0.0056935,0.0056935,0.0056935
176,22686.1,0.51327,0.5712,1.06219,0.61767,0.6439,0.61279,0.49616,0.92313,1.54226,1.46699,0.00566875,0.00566875,0.00566875
177,22786.5,0.51804,0.5622,1.06605,0.63978,0.60605,0.60786,0.49751,0.90963,1.51418,1.46504,0.005644,0.005644,0.005644
178,22887.2,0.51123,0.55736,1.06397,0.61972,0.64574,0.61401,0.49599,0.89578,1.51941,1.43492,0.00561925,0.00561925,0.00561925
179,22987.8,0.51315,0.56014,1.05902,0.58533,0.65646,0.61424,0.49241,0.91178,1.54386,1.47471,0.0055945,0.0055945,0.0055945
180,23088.5,0.51014,0.56312,1.06372,0.59804,0.6384,0.61901,0.49176,0.92584,1.54989,1.48242,0.00556975,0.00556975,0.00556975
181,23189.2,0.49941,0.54553,1.05457,0.63461,0.62585,0.60993,0.49188,0.93366,1.60405,1.48279,0.005545,0.005545,0.005545
182,23289.9,0.50529,0.54601,1.0572,0.58102,0.66991,0.62346,0.49284,0.9149,1.563,1.48254,0.00552025,0.00552025,0.00552025
